L,Uonset,Ustop
60,0,"15,71399"
65,0,"13,95551"
70,0,"12,56338"
75,0,"12,56338"
80,0,"11,90395"
85,0,"11,31779"
90,0,"10,95144"
95,0,"10,0722"
100,"15,42091","9,92566"
110,"19,30422","9,48604"
120,"15,2011","8,16718"
130,"13,07627","7,21467"
140,"12,78319","6,77505"
150,"9,77912","6,77505"
160,"10,87817","6,4087"
, ,
60,"34,984","14,32186"
65,"26,26487","11,918604"
70,"23,77369","10,73163"
75,"21,0627","9,92566"
80,"17,83882","9,26623"
85,"14,61494","8,82661"
90,"12,56338","8,75334"
95,"11,97722","8,46026"
100,"11,90395","8,16718"
110,,"7,43448"
120,,"7,36121"
130,,"7,21467"
140,,"6,99486"
150,,"6,4087"
160,"13,95551","6,11562"
,,
60,"21,42905","13,80897"
65,"26,33814","12,34357"
70,,"11,17125"
75,"18,8646","9,92566"
80,,"9,26623"
85,,"8,31372"
90,,"7,8741"
95,"20,69635","7,80083"
100,"14,17532","7,36121"
110,,
120,,
130,,
140,,
150,,
160,"12,78319",
,,
60,"18,1423",
65,"22,09996",
70,"14,84425",
75,"23,71234",
80,"13,96477",
85,"18,72862",
90,"16,74979",
95,"15,72373",
100,"16,60321",
110,"15,06412",
120,"12,64555",
130,"14,03806",
140,"12,13252",
150,"9,27421",
160,"8,90776",
,,
60,"26,05762",
65,"20,78074",
70,"14,77096",
75,"24,22537",
80,"14,62438",
85,"19,97455",
90,"16,6765",
95,"14,33122",
100,"16,16347",
110,"14,99083",
120,"16,82308",
130,"13,96477",
140,"11,61949",
150,"11,39962",
160,"8,76118",
,,
60,,
65,,
70,,
75,,
80,,
85,,
90,,
95,,
100,"15,35728",
110,,
120,,
130,,
140,,
150,"10,59343",
160,,
